IP_8_Block_16,,,,,,,,
COEFF BITS,,,,,,,,
QP = 1,QP = 4,QP = 7,QP = 10,,Coeff Sum,,,
313004,75688,7584,450,,2542065,392661,22626,4044
249715,35400,1103,396,,Mdiff Sum,,,
245702,33052,954,396,,18898,22316,30644,21782
228050,28753,878,396,,Bit Sum,,,
245869,30259,898,396,,2560963,414977,53270,25826
247900,32831,801,396,,Avg PSNR,,,
198424,22403,691,396,,32.9227256,29.893256,25.5908681,17.7201998
254171,27589,626,396,,,,,
317180,74957,7706,426,,,,,
242050,31729,1385,396,,,,,
2542065,,,,,,,,
MDIFF BITS,,,,,,,,
QP = 1,QP = 4,QP = 7,QP = 10,,,,,
730,752,766,504,,,,,
2256,2826,3904,2342,,,,,
2282,2766,3674,2760,,,,,
2164,2474,3748,3018,,,,,
2252,2638,3588,2752,,,,,
2188,2576,3394,2678,,,,,
2074,2324,3430,2580,,,,,
2176,2586,3412,2532,,,,,
762,750,792,480,,,,,
2014,2624,3936,2136,,,,,
,,,,,,,,
PSNR,,,,,,,,
QP = 1,QP = 4,QP = 7,QP = 10,,,,,
33.708862,29.964457,24.756714,16.780685,,,,,
33.059002,30.027277,25.483414,17.336342,,,,,
33.03862,29.802176,25.708746,17.977024,,,,,
32.941551,29.893112,25.813866,18.138962,,,,,
32.67186,30.004074,25.841257,18.242277,,,,,
32.728481,29.778637,25.980785,18.295511,,,,,
32.913597,29.74057,26.070515,18.311857,,,,,
32.79797,29.708328,26.149815,18.326303,,,,,
32.572933,30.055256,24.667276,16.652952,,,,,
32.79438,29.958673,25.436293,17.140085,,,,,
,,,,,,,,
RUN_TIME,,,,,,,,
QP = 1,QP = 4,QP = 7,QP = 10,,,,,
118.2,100.54,97.25,95.25,,,,,
