IP_4_Block_16,,,,,,,,
COEFF BITS,,,,,,,,
QP = 1,QP = 4,QP = 7,QP = 10,,Coeff Sum,,,
313004,75688,7584,450,,2606962,443038,31098,4104
251222,36648,1234,396,,Mdiff Sum,,,
247312,34404,1348,396,,15740,18450,23542,15224
230013,29238,1071,396,,Bit Sum,,,
310838,73734,7574,456,,2622702,461488,54640,19328
240322,32675,1253,396,,Bitrate,,,
199455,23040,947,396,,22911.69739,4217.198209,454.00914,171.9878982
254796,30513,929,396,,Avg PSNR,,,
317180,74957,7706,426,,33.0261699,29.9762126,25.1409986,17.0690045
242820,32141,1452,396,,,,,
,,,,,22911.69739,33.0261699,,
MDIFF BITS,,,,,4217.198209,29.9762126,,
QP = 1,QP = 4,QP = 7,QP = 10,,454.00914,25.1409986,,
730,752,766,504,,171.9878982,17.0690045,,
1968,2448,3122,1992,,,,,
2050,2402,2902,1994,,,,,
1970,2220,2934,2024,,,,,
756,772,754,512,,,,,
1872,2348,3128,1938,,,,,
1796,2130,3014,1996,,,,,
1974,2378,2996,1946,,,,,
762,750,792,480,,,,,
1862,2250,3134,1838,,,,,
,,,,,,,,
PSNR,,,,,,,,
QP = 1,QP = 4,QP = 7,QP = 10,,,,,
33.708862,29.964457,24.756714,16.780685,,,,,
33.058338,30.014275,25.317369,17.051704,,,,,
33.038017,29.728592,25.491802,17.263325,,,,,
32.939011,29.379181,25.496674,17.492327,,,,,
33.338516,30.440104,24.515469,16.767727,,,,,
33.062843,30.177292,25.146648,17.062931,,,,,
32.974358,30.225372,25.349422,17.28334,,,,,
32.774475,29.882589,25.482714,17.458889,,,,,
32.572933,30.055256,24.667276,16.652952,,,,,
32.794346,29.895008,25.185898,16.876165,,,,,
,,,,,,,,
RUN_TIME,,,,,,,,
QP = 1,QP = 4,QP = 7,QP = 10,,,,,
114.47,109.43,120.35,112.38,,,,,
